# Sherical harmonic coefficients for the Average Magnetic field and Polar current System (AMPS) model
# Produced Aug 2026
#
# Based on magnetic field measurements from CHAMP (2001-08 to 2010-09) and Swarm (2013-12 to 2026-04).
# Reference: Laundal et al., "Solar wind and seasonal influence on ionospheric currents", Journal of Geophysical Research - Space Physics, doi:10.1029/2018JA025387, 2018
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
# 
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
35 0 -0.0074083        NaN -0.0084790        NaN  0.0845253        NaN -0.0383779        NaN  0.0180388        NaN -0.0008849        NaN -0.0014321        NaN -0.0319894        NaN -0.0320204        NaN  0.0175914        NaN -0.0063343        NaN -0.0397101        NaN -0.0062412        NaN -0.0004825        NaN  0.0014355        NaN -0.0056709        NaN  0.0005226        NaN -0.0005727        NaN -0.0002479        NaN  0.0007036        NaN  0.0008770        NaN  0.0014201        NaN -0.0005044        NaN  0.0003208        NaN  0.0002318        NaN  0.0302095        NaN  0.0140215        NaN  0.0043621        NaN -0.0041580        NaN -0.0322277        NaN  0.0014817        NaN -0.0003379        NaN -0.0017580        NaN -0.0008538        NaN  0.0005293        NaN  0.0005871        NaN  0.0014597        NaN -0.0010617        NaN
35 1  0.0079116  0.1791128  0.0384084 -0.0430815 -0.0000225  0.0095838 -0.0553323  0.0087292 -0.0232545 -0.1664618 -0.0354182  0.0316725 -0.0090346 -0.0255364 -0.0158199  0.0194931 -0.0030933 -0.0045695  0.0473487  0.0078195  0.0156233  0.0621704 -0.0006564  0.0037254  0.0003973 -0.0000443 -0.0000041 -0.0051511  0.0000999 -0.0008359  0.0002274 -0.0002632  0.0000349 -0.0004466 -0.0010983  0.0056153 -0.0004397  0.0005054  0.0000725 -0.0013335 -0.0006364 -0.0006694  0.0000236  0.0000668 -0.0003061 -0.0006985 -0.0000870 -0.0029273 -0.0063366 -0.0058580  0.0150035 -0.0078031  0.0009339  0.0001808  0.0221397  0.0052805  0.0087308  0.0222087 -0.0093566  0.0070121  0.0005614 -0.0014534  0.0006205  0.0012058 -0.0005245 -0.0000265  0.0005237  0.0000604  0.0005774 -0.0001268 -0.0005024 -0.0021319 -0.0013672 -0.0024701 -0.0005014  0.0001410
35 2 -0.0213723  0.0048107 -0.1335865 -0.5734816 -0.0380290  0.0269287  0.0470056 -0.0054472  0.0038821 -0.0035249  0.2229455  0.3319805  0.0123792  0.0017804 -0.0108596  0.0833061  0.0095292 -0.0049835 -0.0099682  0.0000845  0.0100595  0.0021538 -0.1190552 -0.1047584  0.0095741 -0.0001705 -0.0010284 -0.0000267 -0.0021291 -0.0003589  0.0027525  0.0016628 -0.0005897  0.0019136  0.0004549 -0.0008408  0.0023404 -0.0033952 -0.0001758  0.0007072 -0.0008394  0.0003859 -0.0004839 -0.0005310 -0.0021415 -0.0000462 -0.0004037  0.0008909 -0.0062646  0.0042540  0.0632783  0.0358882 -0.0108276  0.0028936 -0.0033414  0.0019575  0.0068852  0.0002004 -0.0746360 -0.0316332  0.0006995 -0.0047150  0.0001959 -0.0003986  0.0027680  0.0006949  0.0005301 -0.0002093 -0.0010445 -0.0062718 -0.0002085  0.0006727 -0.0085620  0.0053471  0.0008094  0.0002769
35 3  0.0628729  0.0990216  0.0784730  0.0951039  0.0008702 -0.0043419  0.0154477  0.0045613 -0.0451706 -0.0545454 -0.0664228 -0.0647075 -0.0165410 -0.0412449  0.0019701 -0.0245446 -0.0015622 -0.0006991 -0.0142385  0.0042836  0.0175687  0.0001449  0.0258439 -0.0053889  0.0009714  0.0011735 -0.0019611 -0.0031923 -0.0010204  0.0005060 -0.0002096 -0.0003009 -0.0005862 -0.0009419  0.0018806  0.0039409 -0.0004991  0.0008433 -0.0003044  0.0016209  0.0014913  0.0002021 -0.0001307  0.0000935  0.0012333  0.0020675 -0.0013689 -0.0001316  0.0035255  0.0141726 -0.0133783  0.0151698  0.0004716  0.0005781 -0.0063399 -0.0034396 -0.0037172 -0.0264523  0.0165735 -0.0176510  0.0000691  0.0012166  0.0007603 -0.0008269  0.0001637  0.0009389 -0.0001105  0.0000228 -0.0005848  0.0006834 -0.0009759  0.0012213  0.0000987  0.0018555 -0.0001045  0.0002462
36 0  0.0418179        NaN -0.0137507        NaN  0.0069368        NaN -0.1373344        NaN -0.0471172        NaN -0.0437127        NaN -0.0038473        NaN  0.0210034        NaN -0.0005691        NaN  0.0375391        NaN  0.0127685        NaN  0.0322578        NaN -0.0012725        NaN  0.0016226        NaN  0.0042702        NaN -0.0016617        NaN  0.0002718        NaN -0.0010362        NaN -0.0000911        NaN -0.0010693        NaN -0.0025134        NaN  0.0005861        NaN -0.0009688        NaN  0.0002446        NaN -0.0020981        NaN -0.0130315        NaN  0.0001452        NaN -0.0140293        NaN  0.0051181        NaN  0.0197623        NaN -0.0000673        NaN -0.0000213        NaN  0.0037740        NaN -0.0000244        NaN  0.0001339        NaN -0.0000442        NaN -0.0002255        NaN -0.0000505        NaN
36 1 -0.0069676  0.0102934  0.0625616 -0.1540904 -0.0340543 -0.0067271  0.0486733 -0.0174451  0.0065635 -0.0009465  0.0196877  0.1687193  0.0067878  0.0040845  0.0155826 -0.0092156 -0.0252340 -0.0066821 -0.0164177  0.0068966  0.0060832  0.0047516 -0.0263170 -0.0839126  0.0139492 -0.0044230 -0.0007260  0.0002256 -0.0014477  0.0005458 -0.0025819 -0.0005285  0.0016726 -0.0022917  0.0000767 -0.0001925 -0.0020490  0.0023570 -0.0002094  0.0003481  0.0028821  0.0030102  0.0014905 -0.0000588  0.0009111 -0.0003558 -0.0005061  0.0008880 -0.0031538 -0.0029289  0.0086772  0.0315858 -0.0318928 -0.0021673  0.0049933  0.0022710  0.0039543  0.0031479 -0.0146234 -0.0562454 -0.0016304  0.0049782  0.0003256 -0.0007851  0.0005710  0.0022300  0.0006360  0.0000155 -0.0029711 -0.0005833 -0.0003504  0.0007046 -0.0043623 -0.0031673  0.0011936 -0.0000350
36 2  0.0936399  0.2754511  0.0378909  0.0309584 -0.0020631 -0.0035965  0.0403480 -0.0119442 -0.0644516 -0.0479859 -0.0328971 -0.0765972 -0.0069062 -0.0999737 -0.0133435  0.0341862  0.0002157 -0.0012762 -0.0075200  0.0158287  0.0346764  0.0029613  0.0008043  0.0562176 -0.0002405 -0.0002647 -0.0010516 -0.0062461 -0.0043141  0.0018385  0.0016705 -0.0005065 -0.0005593  0.0006903  0.0004998  0.0032741  0.0009944  0.0007993 -0.0004501  0.0007529  0.0020050 -0.0008581 -0.0003015  0.0002442  0.0003783  0.0004139 -0.0008174 -0.0014502 -0.0150303  0.0096552  0.0006568 -0.0300946  0.0011972  0.0005057  0.0136751  0.0011523  0.0140113 -0.0321775  0.0013115  0.0396675  0.0001478  0.0001627  0.0009615  0.0001480 -0.0042857  0.0002781 -0.0002627  0.0000589 -0.0001677  0.0004083 -0.0007683  0.0000159  0.0001483  0.0061322  0.0001283  0.0005851
36 3 -0.0039017 -0.0034275 -0.1262284 -0.2114494 -0.0039482 -0.0030386  0.0155227 -0.0011479  0.0061191 -0.0129222  0.1157863  0.1532589  0.0057150 -0.0014824  0.0144533  0.1228091  0.0123720 -0.0060831 -0.0039754  0.0036856  0.0016828  0.0071898 -0.0605040  0.0248245 -0.0008042  0.0020172  0.0012106  0.0017705  0.0005482  0.0007790  0.0013193  0.0004054 -0.0002115  0.0011478 -0.0004491 -0.0010905 -0.0025363 -0.0017592  0.0010230 -0.0007698 -0.0006260  0.0016058 -0.0009081  0.0004642  0.0018832 -0.0009967  0.0011863 -0.0001311  0.0007829 -0.0034504  0.0271287 -0.0437550  0.0085244 -0.0008120 -0.0033773  0.0020628  0.0024806  0.0006819 -0.0295865  0.0616771 -0.0005289 -0.0005063 -0.0010096  0.0003313 -0.0012540 -0.0000358 -0.0004156 -0.0001835  0.0006630  0.0019314  0.0011225 -0.0003609  0.0009364 -0.0012065 -0.0002097  0.0006387
37 0 -0.0280868        NaN  0.0221784        NaN  0.0558542        NaN -0.0105338        NaN  0.0189084        NaN  0.0433851        NaN  0.0024594        NaN -0.0438084        NaN -0.0175090        NaN  0.0104027        NaN -0.0046750        NaN -0.0639593        NaN  0.0055310        NaN -0.0001835        NaN -0.0006282        NaN -0.0052097        NaN  0.0001873        NaN -0.0010744        NaN -0.0004163        NaN  0.0006638        NaN -0.0009857        NaN  0.0015890        NaN -0.0017624        NaN  0.0007481        NaN  0.0037738        NaN  0.0384679        NaN  0.0125041        NaN  0.0055069        NaN -0.0014932        NaN -0.0433000        NaN  0.0003147        NaN -0.0005589        NaN  0.0018166        NaN -0.0006894        NaN -0.0021503        NaN  0.0007987        NaN -0.0014342        NaN  0.0011268        NaN
37 1  0.0096041  0.1458056  0.0342264 -0.0675775 -0.0015933  0.0041192  0.0464101 -0.0227963  0.0003447 -0.0734423 -0.0162800  0.0075306 -0.0091032 -0.0493100 -0.0218098  0.0243366 -0.0021619 -0.0023815  0.0142519 -0.0012947  0.0058923  0.0169638 -0.0134040  0.0143786 -0.0009381  0.0003087  0.0019468 -0.0003406 -0.0000543 -0.0001803  0.0016689  0.0003371 -0.0002630 -0.0010746 -0.0011255  0.0050992  0.0004666 -0.0000520 -0.0015162 -0.0002241 -0.0004347  0.0014538 -0.0005926 -0.0000210  0.0000597  0.0015457 -0.0006904 -0.0019248 -0.0066144  0.0085710  0.0200210 -0.0089578 -0.0001755  0.0005743  0.0228768  0.0014881  0.0073730  0.0017885 -0.0149445  0.0136492 -0.0005931  0.0010210  0.0009041  0.0006941 -0.0009541  0.0004936  0.0004001 -0.0000233 -0.0005885  0.0006183 -0.0011274 -0.0016842  0.0017191  0.0027490 -0.0002790  0.0003386
37 2 -0.0004512  0.0074915 -0.1790017 -0.3538148 -0.0391369  0.0139590  0.0424390  0.0179955 -0.0043154 -0.0054410  0.1636006  0.1221042  0.0093108 -0.0017101  0.0317191  0.1501212  0.0132971 -0.0085748 -0.0101540 -0.0043689  0.0096526  0.0029890 -0.0577986  0.0098847 -0.0056192  0.0090115  0.0013210  0.0001633  0.0016477  0.0000928  0.0029806  0.0007038 -0.0001129  0.0001547  0.0004391 -0.0003825 -0.0023618  0.0018292  0.0002473  0.0011341  0.0008141 -0.0001617 -0.0009081 -0.0002592  0.0024636 -0.0002644  0.0000915  0.0013544 -0.0056137 -0.0029903  0.0307487 -0.0174333 -0.0042773 -0.0008862 -0.0067193  0.0016415  0.0069350  0.0024526 -0.0326941  0.0441466 -0.0014213  0.0044639 -0.0005167 -0.0008906 -0.0024083 -0.0006087  0.0003811 -0.0002943  0.0014292  0.0050884  0.0004188  0.0011284  0.0073104 -0.0048258 -0.0007613  0.0002511
37 3  0.0264021  0.0365794  0.0653677  0.1073130  0.0014643 -0.0060887 -0.0151863 -0.0090781 -0.0155537  0.0051726 -0.0562750 -0.0660515 -0.0242786 -0.0482805 -0.0004976 -0.0532436 -0.0008908  0.0011854 -0.0070162  0.0084341 -0.0019605 -0.0255088  0.0232921 -0.0311713 -0.0015159 -0.0015547 -0.0021822 -0.0034618 -0.0003876 -0.0004542 -0.0004044 -0.0002307  0.0011066 -0.0003420  0.0006682  0.0012458  0.0004719 -0.0002070  0.0001162  0.0029645 -0.0004398 -0.0007505  0.0000325 -0.0000189 -0.0015196 -0.0013723 -0.0005517  0.0017733  0.0076895  0.0151348 -0.0121575  0.0313850  0.0001253  0.0001938 -0.0019133 -0.0015159 -0.0134421 -0.0294735  0.0148797 -0.0358408  0.0000612 -0.0013326  0.0003611 -0.0020010  0.0004963 -0.0009031 -0.0001392  0.0001023  0.0004933 -0.0002583 -0.0004278  0.0026421 -0.0001670 -0.0022603 -0.0003051 -0.0003284
38 0  0.0531823        NaN  0.0137340        NaN  0.0067739        NaN -0.1170156        NaN -0.0413791        NaN -0.0324044        NaN -0.0106198        NaN  0.0039859        NaN -0.0007201        NaN  0.0353787        NaN  0.0074313        NaN  0.0172053        NaN  0.0003827        NaN -0.0001237        NaN  0.0011617        NaN -0.0016373        NaN -0.0002958        NaN  0.0003256        NaN  0.0002538        NaN -0.0011539        NaN  0.0003320        NaN  0.0006426        NaN  0.0009008        NaN -0.0009121        NaN -0.0019599        NaN -0.0032381        NaN  0.0001369        NaN -0.0073318        NaN  0.0034208        NaN  0.0071340        NaN  0.0000748        NaN  0.0003617        NaN -0.0024611        NaN  0.0001476        NaN -0.0001275        NaN -0.0004207        NaN  0.0004205        NaN -0.0000228        NaN
38 1 -0.0092883  0.0087198  0.0050403 -0.0713359 -0.0681397  0.0287507  0.0362729 -0.0184151 -0.0056768  0.0020345 -0.0498739  0.1212388  0.0105135 -0.0001389  0.0135413  0.0251328  0.0224025 -0.0013006 -0.0135891  0.0082435  0.0058089  0.0063156  0.0133933 -0.0251459 -0.0156722  0.0096549  0.0009044 -0.0005189  0.0016211 -0.0002338 -0.0006501 -0.0003049  0.0003761  0.0007016 -0.0000406 -0.0002479  0.0030020 -0.0027746 -0.0005870 -0.0001951 -0.0027264 -0.0025381  0.0007913  0.0000426 -0.0004113  0.0006360 -0.0007769  0.0002660 -0.0073801 -0.0063699  0.0011341 -0.0012167 -0.0170246  0.0017750  0.0029695  0.0013695  0.0056852  0.0044012 -0.0024063 -0.0189684  0.0000738 -0.0036957  0.0005857 -0.0003045 -0.0006034 -0.0019416  0.0009317  0.0000658  0.0040598  0.0007008 -0.0006155  0.0003170  0.0038554  0.0027308 -0.0013119 -0.0006115
38 2  0.0530303  0.1374159  0.0268925  0.0762587 -0.0035104 -0.0133928  0.0605128 -0.0178808 -0.0294677  0.0899679 -0.0260129 -0.0716820 -0.0170428 -0.1005438  0.0012795  0.0093091  0.0018436  0.0023736 -0.0182707  0.0159503  0.0137620 -0.0507451  0.0180891  0.0392876  0.0002252  0.0010698 -0.0013149 -0.0086260 -0.0018708 -0.0003786  0.0015881 -0.0001735 -0.0003402 -0.0026218  0.0016280  0.0011268 -0.0007407 -0.0005767 -0.0005246  0.0015065  0.0001245  0.0007470 -0.0001339  0.0002136 -0.0001102  0.0000039 -0.0011992 -0.0001565 -0.0051925  0.0176852 -0.0160200 -0.0205731 -0.0007845  0.0003551  0.0084087  0.0024310  0.0029576 -0.0498442  0.0180021  0.0257743 -0.0000895 -0.0000261  0.0009980 -0.0005441  0.0038390  0.0000289 -0.0004502  0.0000780  0.0002728 -0.0002418 -0.0010052  0.0010262 -0.0002933 -0.0062228 -0.0001666 -0.0000649
38 3 -0.0037135  0.0056576 -0.0295427 -0.1148531 -0.0022896  0.0032141  0.0116189  0.0015349 -0.0058487 -0.0085703  0.0416271 -0.0328679  0.0004409 -0.0008572  0.0387968  0.1413449  0.0013381 -0.0001946 -0.0060368  0.0009063  0.0041407 -0.0001952 -0.0042372  0.0967692  0.0028881 -0.0037512  0.0003157  0.0023254 -0.0011201 -0.0010534  0.0008422 -0.0006823  0.0003245  0.0006914 -0.0013805 -0.0011917  0.0002543  0.0004943  0.0007855 -0.0012154  0.0006273 -0.0015270 -0.0006170  0.0005586 -0.0033162 -0.0003915  0.0011024 -0.0006799 -0.0042891  0.0019171 -0.0027435 -0.0676664  0.0034366  0.0014958 -0.0024278  0.0009487  0.0009727  0.0013826  0.0065399  0.0907520  0.0017018  0.0009720 -0.0007974  0.0006472  0.0012252  0.0001976 -0.0005539 -0.0000783 -0.0019512 -0.0030941  0.0010273 -0.0006571 -0.0006179  0.0010005  0.0000556  0.0006985
39 0 -0.0147844        NaN -0.1203786        NaN  0.0253144        NaN -0.0057564        NaN  0.0141649        NaN  0.0469179        NaN  0.0071265        NaN -0.0297386        NaN -0.0153769        NaN  0.0064345        NaN -0.0009936        NaN -0.0520276        NaN -0.0051700        NaN  0.0009429        NaN  0.0014568        NaN -0.0043425        NaN -0.0014498        NaN -0.0005507        NaN  0.0009182        NaN  0.0003583        NaN  0.0005019        NaN  0.0015155        NaN  0.0012977        NaN  0.0006894        NaN -0.0027462        NaN  0.0343993        NaN  0.0007056        NaN  0.0059915        NaN -0.0002277        NaN -0.0374673        NaN  0.0000397        NaN -0.0002973        NaN -0.0017761        NaN -0.0005147        NaN  0.0018263        NaN  0.0003636        NaN  0.0013862        NaN -0.0005565        NaN
39 1  0.0014977  0.1024712  0.0087581 -0.0314300 -0.0070557  0.0020253  0.1079049  0.0037287  0.0207684  0.0031770 -0.0038340 -0.0245605 -0.0061595 -0.0432951 -0.0145004  0.0222994  0.0014925  0.0005555 -0.0283466  0.0118724 -0.0034896 -0.0243918 -0.0131321  0.0188072  0.0008066  0.0006818 -0.0008918 -0.0055721 -0.0023277  0.0007346  0.0023520 -0.0002043 -0.0001765 -0.0001709 -0.0003933  0.0043612 -0.0005095 -0.0000615 -0.0020232  0.0012728  0.0005535 -0.0011947 -0.0008363 -0.0000534 -0.0000438 -0.0012704 -0.0014834  0.0000401 -0.0042213  0.0155965  0.0158701 -0.0064313  0.0007605 -0.0005771  0.0168884  0.0060315  0.0040420 -0.0152548 -0.0109098  0.0151635  0.0005967 -0.0009753  0.0018491 -0.0004615 -0.0006460 -0.0000918  0.0002775  0.0000046  0.0004224 -0.0004770 -0.0019129 -0.0005336 -0.0013376 -0.0024629 -0.0004164  0.0000105
39 2  0.0054931 -0.0006108 -0.0116946 -0.1852657 -0.0463303  0.0244602  0.0345370  0.0184922 -0.0095389 -0.0073908  0.0676226 -0.1129601  0.0057530 -0.0018608  0.0546537  0.1437789  0.0165764 -0.0057609 -0.0083107 -0.0043981  0.0071924  0.0022872  0.0110617  0.0945488  0.0062677 -0.0047919 -0.0000008  0.0003212 -0.0022192 -0.0006177  0.0037421 -0.0008550  0.0018720  0.0050340  0.0007509 -0.0009740  0.0017530 -0.0016769  0.0004512  0.0010319 -0.0005158 -0.0000535 -0.0013639  0.0000491 -0.0028479  0.0000947  0.0002185  0.0012200 -0.0026398 -0.0014069 -0.0089751 -0.0442720 -0.0012315  0.0021301 -0.0086531  0.0005031  0.0036099  0.0024730  0.0130078  0.0835965  0.0015077 -0.0043450 -0.0007652 -0.0005781  0.0023215  0.0007250  0.0001628 -0.0001179 -0.0016400 -0.0053245  0.0006477  0.0009543 -0.0059878  0.0043217  0.0003552  0.0005482
39 3 -0.0157890 -0.0512164  0.0657421  0.1457217 -0.0008843 -0.0096364 -0.0257048 -0.0063031  0.0235609  0.0667930 -0.0334519 -0.0290155 -0.0255037 -0.0423815 -0.0092166 -0.0740934 -0.0004330  0.0012168 -0.0004179  0.0076562 -0.0161169 -0.0356473  0.0072066 -0.0561042  0.0014143  0.0022500 -0.0008538  0.0013737  0.0000037  0.0008838 -0.0008780  0.0002129 -0.0007901 -0.0012882 -0.0004235 -0.0024800 -0.0004907  0.0001480  0.0007447  0.0030831  0.0010576  0.0002102  0.0000579 -0.0001184  0.0011909  0.0017002  0.0006515  0.0030582  0.0142500  0.0164280 -0.0047363  0.0399607 -0.0007587  0.0010739 -0.0001767 -0.0014538 -0.0171562 -0.0214404  0.0049898 -0.0524244  0.0001199  0.0013676 -0.0002491 -0.0022794  0.0000735  0.0008989  0.0000345  0.0001198 -0.0006894  0.0001198  0.0003858  0.0030346  0.0002562  0.0017935 -0.0002040 -0.0002714
40 0  0.0442811        NaN  0.0587224        NaN  0.0020256        NaN -0.0888914        NaN -0.0273844        NaN -0.0256360        NaN -0.0088632        NaN -0.0014748        NaN  0.0003014        NaN  0.0295771        NaN  0.0023859        NaN  0.0164939        NaN -0.0011581        NaN -0.0022200        NaN  0.0034763        NaN -0.0010717        NaN  0.0004341        NaN  0.0020388        NaN -0.0006010        NaN -0.0008436        NaN -0.0022907        NaN  0.0006574        NaN -0.0013942        NaN -0.0018044        NaN  0.0012099        NaN -0.0057140        NaN -0.0000411        NaN  0.0004398        NaN -0.0000862        NaN  0.0076338        NaN  0.0005166        NaN  0.0006973        NaN  0.0027522        NaN  0.0001904        NaN -0.0004038        NaN -0.0008270        NaN -0.0003365        NaN -0.0002061        NaN
40 1  0.0006944  0.0067477  0.1079152 -0.1141899 -0.0920806  0.0080960  0.0364764 -0.0134275 -0.0039591 -0.0028288 -0.0387348  0.0756427  0.0053072  0.0028507  0.0045827  0.0336192  0.0282196 -0.0052012 -0.0128762  0.0055488  0.0088978  0.0008821  0.0226509  0.0040638  0.0150703 -0.0055603  0.0004314 -0.0023431 -0.0018530  0.0002395  0.0017078 -0.0000205  0.0018550 -0.0005711 -0.0003983 -0.0008263 -0.0012453  0.0018107 -0.0007869 -0.0003627  0.0021699  0.0019313 -0.0001080  0.0000641  0.0007237 -0.0004170 -0.0006856 -0.0002970 -0.0036442 -0.0027413 -0.0049126 -0.0137997 -0.0245772 -0.0009144  0.0013302 -0.0004512  0.0044646  0.0024631  0.0024510 -0.0000992 -0.0009854  0.0037218  0.0004981  0.0004308  0.0005361  0.0016374  0.0009627  0.0001362 -0.0025188 -0.0006539 -0.0005455 -0.0001516 -0.0033019 -0.0022654  0.0007802 -0.0000677
40 2  0.0060254 -0.0232166  0.0367687  0.1121724 -0.0039411 -0.0180129  0.0770688 -0.0106705  0.0081448  0.1814904 -0.0068828 -0.0452932 -0.0163062 -0.0667400  0.0144683 -0.0142510  0.0036396  0.0041395 -0.0290267  0.0113264 -0.0064657 -0.0719904  0.0287380  0.0151892  0.0004513  0.0007466 -0.0015211 -0.0009006 -0.0039218  0.0033590  0.0012679  0.0010142 -0.0006923  0.0008586  0.0022662 -0.0021399  0.0006119 -0.0002616 -0.0009684  0.0017976  0.0021833 -0.0013446 -0.0000837 -0.0000430  0.0002985 -0.0000709 -0.0016257  0.0012980  0.0028640  0.0182798 -0.0324644 -0.0064726  0.0011624  0.0015115  0.0027670  0.0016190 -0.0071544 -0.0463238  0.0322268  0.0045331  0.0000396  0.0005186  0.0011984 -0.0008129 -0.0033883  0.0001444 -0.0005029  0.0000380 -0.0002566 -0.0001749 -0.0012747  0.0016473  0.0004189  0.0047831  0.0001364  0.0000522
40 3  0.0055943 -0.0016250 -0.0263642  0.1435271  0.0164846 -0.0093801 -0.0122694  0.0132106 -0.0077565 -0.0032748 -0.0506845 -0.2116545  0.0015382 -0.0021601  0.0622468  0.1089836  0.0008748 -0.0037510 -0.0026644 -0.0030862  0.0030034  0.0008175  0.0702108  0.1433728 -0.0038771 -0.0001118  0.0017244  0.0014739  0.0011872  0.0009703 -0.0011477 -0.0013660  0.0021569  0.0031543 -0.0017595  0.0005591 -0.0011208 -0.0014747  0.0002599 -0.0011849 -0.0004685  0.0014380 -0.0001074  0.0005645  0.0017956 -0.0016615  0.0007231 -0.0010160  0.0006471 -0.0007578 -0.0436976 -0.0796737  0.0050502 -0.0015581 -0.0000530  0.0006564  0.0030389 -0.0001597  0.0542752  0.1023989 -0.0010480 -0.0002334 -0.0004180  0.0005637 -0.0011049 -0.0002276 -0.0004114 -0.0000754  0.0008467  0.0014206  0.0005280 -0.0008633  0.0005446 -0.0007793 -0.0002205  0.0005588
41 0 -0.0133463        NaN -0.0449686        NaN  0.0075564        NaN  0.0149603        NaN  0.0086149        NaN  0.0458629        NaN  0.0042734        NaN -0.0186406        NaN -0.0072638        NaN -0.0043311        NaN -0.0004389        NaN -0.0351276        NaN  0.0086706        NaN  0.0008401        NaN -0.0000640        NaN -0.0033639        NaN -0.0007523        NaN -0.0007249        NaN -0.0006810        NaN  0.0007903        NaN -0.0006980        NaN  0.0012741        NaN -0.0005006        NaN  0.0015174        NaN  0.0000427        NaN  0.0190897        NaN  0.0000227        NaN  0.0060204        NaN  0.0014411        NaN -0.0224432        NaN -0.0001447        NaN -0.0009049        NaN  0.0015512        NaN -0.0003077        NaN -0.0014970        NaN  0.0009685        NaN -0.0013116        NaN  0.0010805        NaN
41 1  0.0039125  0.0629073 -0.0019251 -0.0284996 -0.0077862 -0.0000877  0.1372608 -0.0132946  0.0272343  0.0471157  0.0177981 -0.0515796 -0.0010795 -0.0342038 -0.0223745  0.0223916  0.0012216  0.0004238 -0.0391611 -0.0031195 -0.0093355 -0.0343265 -0.0294093  0.0292939 -0.0004304  0.0003063 -0.0008796 -0.0002947 -0.0013445  0.0004878  0.0023861  0.0003318 -0.0006995 -0.0001081  0.0015145  0.0023279  0.0006026 -0.0004719 -0.0017523  0.0016493  0.0003630  0.0008945 -0.0009856 -0.0001440  0.0003156  0.0008208 -0.0015278  0.0010819 -0.0048588  0.0195278  0.0234347 -0.0118901 -0.0002154  0.0000429  0.0155239 -0.0000311  0.0020623 -0.0168106 -0.0206360  0.0228241 -0.0007530  0.0012806  0.0011873 -0.0008678 -0.0011080  0.0002720  0.0002529 -0.0000333 -0.0002227 -0.0000101 -0.0014187  0.0002244  0.0015729  0.0021375 -0.0000951  0.0002074
41 2  0.0026571  0.0138681 -0.0250864  0.1048581 -0.0396779  0.0016208  0.0072874  0.0215556 -0.0107808 -0.0059324 -0.0315588 -0.2622043  0.0025216  0.0034597  0.0490103  0.1027404  0.0176743 -0.0059651 -0.0009111 -0.0042658  0.0063889  0.0032246  0.0592451  0.1417280 -0.0065552  0.0057706  0.0013864  0.0008093  0.0020837  0.0001723  0.0033285 -0.0015761  0.0003476  0.0004210 -0.0001522 -0.0000492 -0.0009268  0.0009561  0.0003239  0.0003335  0.0005186  0.0002314 -0.0014825  0.0003330  0.0028514 -0.0005579  0.0002835  0.0003063 -0.0019299 -0.0005575 -0.0289765 -0.0603342  0.0022637 -0.0030205 -0.0087642  0.0012763  0.0035336  0.0037501  0.0382565  0.1013633 -0.0017831  0.0035431 -0.0006078 -0.0000632 -0.0019853 -0.0005739  0.0000629 -0.0000595  0.0017171  0.0039083  0.0005276  0.0003130  0.0048271 -0.0038740 -0.0008006  0.0000920
